idade,classe_trabalho,escolaridade,anos_estudo,Estado_civil,raça,sexo,UF,regiao
39,Servidor Público,Ensino Médio Completo,13,Solteiro,Branco,Masculino,RO,Norte
50,Autônomo,Ensino Médio Completo,13,Casado,Branco,Masculino,AC,Norte
38,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,AM,Norte
53,Funcionário Setor Privado,Ensino Médio Incompleto,7,Casado,Negro,Masculino,R,Norte
28,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Negro,Feminino,PA,Norte
37,Funcionário Setor Privado,Mestrado,14,Casado,Branco,Feminino,AP,Norte
49,Funcionário Setor Privado,Ensino Fundamental Completo,5,União Estável,Negro,Feminino,TO,Norte
52,Autônomo,Ensino Médio Incompleto,9,Casado,Branco,Masculino,MA,Nordeste
31,Funcionário Setor Privado,Mestrado,14,Solteiro,Branco,Feminino,PI,Nordeste
42,Funcionário Setor Privado,Ensino Médio Completo,13,Casado,Branco,Masculino,CE,Nordeste
37,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Negro,Masculino,RN,Nordeste
30,Servidor Público,Ensino Médio Completo,13,Casado,Pardo,Masculino,PB,Nordeste
23,Funcionário Setor Privado,Ensino Médio Completo,13,Solteiro,Branco,Feminino,PE,Nordeste
32,Funcionário Setor Privado,Ensino Médio Completo,12,Solteiro,Negro,Masculino,AL,Nordeste
40,Funcionário Setor Privado,Ensino Médio Completo,11,Casado,Pardo,Masculino,SE,Nordeste
34,Funcionário Setor Privado,Ensino Fundamental Incompleto,4,Casado,Indígena,Masculino,BA,Nordeste
25,Autônomo,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,MG,Sudeste
32,Funcionário Setor Privado,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,ES,Sudeste
38,Funcionário Setor Privado,Ensino Médio Incompleto,7,Casado,Branco,Masculino,RJ,Sudeste
43,Autônomo,Mestrado,14,Divorciado,Branco,Feminino,SP,Sudeste
40,Funcionário Setor Privado,Doutorado,16,Casado,Branco,Masculino,PR,Sul
54,Funcionário Setor Privado,Ensino Médio Incompleto,9,Separado,Negro,Feminino,SC,Sul
35,Funcionário Público,Ensino Fundamental Completo,5,Casado,Negro,Masculino,RS,Sul
43,Funcionário Setor Privado,Ensino Médio Incompleto,7,Casado,Branco,Masculino,MS,Centro-Oeste
59,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Feminino,MT,Centro-Oeste
56,Empresário,Ensino Médio Completo,13,Casado,Branco,Masculino,GO,Centro-Oeste
19,Estagiário,Ensino Médio Incompleto,9,Solteiro,Branco,Masculino,DF,Centro-Oeste
54,Desempregado,Ensino Médio Completo,10,Casado,Pardo,Masculino,RO,Norte
39,Funcionário Setor Privado,Ensino Médio Incompleto,9,Divorciado,Branco,Masculino,AC,Norte
49,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Masculino,AM,Norte
23,Empresário,Ensino Médio Completo,12,Solteiro,Branco,Masculino,R,Norte
20,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Negro,Masculino,PA,Norte
45,Funcionário Setor Privado,Ensino Médio Completo,13,Divorciado,Branco,Masculino,AP,Norte
30,Funcionário Público,Ensino Médio Completo,10,Casado,Branco,Masculino,TO,Norte
22,Servidor Público,Ensino Médio Completo,10,Casado,Negro,Masculino,MA,Nordeste
48,Funcionário Setor Privado,Ensino Médio Incompleto,7,Solteiro,Branco,Masculino,PI,Nordeste
21,Funcionário Setor Privado,Ensino Médio Completo,10,Solteiro,Branco,Masculino,CE,Nordeste
19,Funcionário Setor Privado,Ensino Médio Incompleto,9,Casado,Branco,Feminino,RN,Nordeste
31,Funcionário Setor Privado,Ensino Médio Completo,10,Casado,Branco,Masculino,PB,Nordeste
48,Autônomo,Ensino Médio Completo,12,Casado,Branco,Masculino,PE,Nordeste
31,Funcionário Setor Privado,Ensino Fundamental Completo,5,Casado,Branco,Masculino,AL,Nordeste
53,Autônomo,Ensino Médio Completo,13,Casado,Branco,Masculino,SE,Nordeste
