cidade,area,quartos,banheiros,garagem,valor(R$)
São Paulo,70,2,1,1,1123600
São Paulo,320,4,4,0,1594600
Porto Alegre,80,1,1,1,778200
Porto Alegre,51,2,1,0,284200
São Paulo,25,1,1,0,177200
São Paulo,376,3,3,7,1801000
Rio de Janeiro,72,2,1,0,550000
São Paulo,213,4,4,4,1450600
São Paulo,152,2,2,1,3288100
Rio de Janeiro,35,1,1,0,591000
São Paulo,26,1,1,0,549400
Campinas,46,1,1,1,236200
São Paulo,36,1,1,0,511200
São Paulo,55,1,1,1,1053600
São Paulo,100,2,2,2,1068600
Campinas,330,4,6,6,1825800
São Paulo,110,2,2,1,772200
Rio de Janeiro,88,2,3,1,1070200
Rio de Janeiro,56,2,1,0,417200
São Paulo,600,4,5,6,4346100
São Paulo,100,7,4,0,805200
Belo Horizonte,42,1,1,1,673600
São Paulo,160,3,2,2,724400
São Paulo,35,1,1,0,223400
Rio de Janeiro,90,3,2,1,548400
São Paulo,49,1,1,1,813400
São Paulo,41,1,1,1,727800
Belo Horizonte,64,2,2,1,390400
Campinas,208,3,2,4,675600
São Paulo,20,1,1,0,511000
São Paulo,55,2,2,2,400800
São Paulo,32,1,1,0,453200
São Paulo,80,2,2,1,801400
Rio de Janeiro,45,1,1,1,1115200
São Paulo,350,4,4,3,1330200
Porto Alegre,38,1,1,2,445200
São Paulo,30,1,1,0,416200
Belo Horizonte,80,3,2,1,2321600
São Paulo,70,2,1,0,255400
Porto Alegre,40,1,1,1,684800
São Paulo,300,4,6,4,3487700
São Paulo,240,3,2,3,779000
Belo Horizonte,200,4,2,1,688600
Belo Horizonte,45,1,1,1,467000
São Paulo,360,4,5,0,2498200
São Paulo,40,1,1,1,768000
Belo Horizonte,100,3,1,0,389400
Porto Alegre,42,1,1,2,400600
Campinas,250,3,3,2,835600
Campinas,48,1,1,1,437000
Rio de Janeiro,90,3,3,1,1049200
São Paulo,45,1,2,1,991200
Rio de Janeiro,150,2,3,4,1290400
São Paulo,60,2,1,0,332800
São Paulo,31,1,1,0,561200
São Paulo,210,4,5,4,2307700
São Paulo,280,3,1,2,1240800
Campinas,93,2,3,2,1273200
Porto Alegre,75,3,2,1,455200
São Paulo,194,3,4,3,826200
São Paulo,41,1,1,1,941000
Rio de Janeiro,65,1,1,1,1483200
São Paulo,70,2,1,1,601200
São Paulo,278,4,5,2,2885800
Rio de Janeiro,35,1,1,0,373600
Campinas,300,4,4,3,1758800
São Paulo,61,2,1,1,466600
Rio de Janeiro,130,3,2,1,771400
Rio de Janeiro,80,2,1,1,300400
São Paulo,164,4,4,2,1521800
Belo Horizonte,220,4,2,3,606000
São Paulo,45,1,1,0,222400
São Paulo,108,3,2,2,1479200
Belo Horizonte,128,1,1,0,545600
Rio de Janeiro,60,1,1,0,464400
São Paulo,250,4,5,4,2594300
